academic_terms,original_string,new_string,domains,country
martin community college,martin community college,martin community college,martincc.edu,United States
mary baldwin college,mary baldwin college,mary baldwin college,mbc.edu,United States
mary washington college,mary washington college,mary washington college,mwc.edu,United States
marymount manhattan college,marymount manhattan college,marymount manhattan college,mmm.edu,United States
marymount university,marymount university,marymount university,marymount.edu,United States
maryville university,maryville university,maryville university,maryville.edu,United States
marywood university,marywood university,marywood university,marywood.edu,United States
massachusetts bay community college,massachusetts bay community college,massachusetts bay community college,massbay.edu,United States
massachusetts institute of technology|mit|mitmedialab,massachusetts institute of technology|mitmedialab|(?<![a-z]|[a-z] )mit(?! [a-z]|[a-z]),massachusetts institute of technology,mit.edu|csail.mit.edu|media.mit.edu|alum.mit.edu|psfc.mit.edu,United States
massasoit community college,massasoit community college,massasoit community college,massasoit.mass.edu,United States
massasoit community college,massasoit community college,massasoit community college,massasoit.edu,United States
